Tecnica,Epoca,Acuracia,Loss,Tempo(s)
Albument->Rand,1,36.37,1.9713028246843363,2.4949281215667725
Albument->Rand,2,39.65,1.653155379657504,2.513374090194702
Albument->Rand,3,48.58,1.524642769294449,2.5489091873168945
Albument->Rand,4,51.5,1.408953438831281,2.543220043182373
Albument->Rand,5,53.8,1.3427483446990387,2.4755098819732666
Albument->Rand,6,54.21,1.267527305627171,2.538083076477051
Albument->Rand,7,56.04,1.1974901149544535,2.4982857704162598
Albument->Rand,8,57.26,1.1385860933533198,2.511937141418457
Albument->Rand,9,57.45,1.06759030834029,2.491014242172241
Albument->Rand,10,59.65,1.0359580765796612,2.5305519104003906
Albument->Rand,11,59.49,0.9727734274502042,2.4435629844665527
Albument->Rand,12,60.84,0.9439884280856652,2.5137388706207275
Albument->Rand,13,61.39,0.8888109092470966,2.5315561294555664
Albument->Rand,14,60.82,0.8384920886800259,2.5413730144500732
Albument->Rand,15,60.71,0.8074249881732313,2.4517829418182373
Albument->Rand,16,61.81,0.7684744902049438,2.531764030456543
Albument->Rand,17,61.57,0.7018758077410203,2.4910309314727783
Albument->Rand,18,62.75,0.6872870639155183,2.560324192047119
Albument->Rand,19,62.39,0.6534173349036446,2.6298248767852783
Albument->Rand,20,61.98,0.6233823838867719,2.4641242027282715
Albument->Rand,21,62.85,0.5823619742936725,2.488391876220703
Albument->Rand,22,63.07,0.5351847387567351,2.494265079498291
Albument->Rand,23,61.15,0.5281846859032595,2.4764270782470703
Albument->Rand,24,62.48,0.5111623489404027,2.499375104904175
Albument->Rand,25,62.68,0.4922756575330903,2.525470018386841
AugMix->Rand,1,40.35,1.8813495107843905,5.209566831588745
AugMix->Rand,2,45.51,1.567243642444852,5.412386178970337
AugMix->Rand,3,48.52,1.410076583488078,5.2535459995269775
AugMix->Rand,4,49.67,1.3184240384946895,5.400002956390381
AugMix->Rand,5,52.53,1.2017377735693244,5.254561901092529
AugMix->Rand,6,53.49,1.089173495392256,5.200348138809204
AugMix->Rand,7,54.71,1.00556137290182,5.398914098739624
AugMix->Rand,8,53.37,0.9127491765384432,5.3976356983184814
AugMix->Rand,9,55.37,0.8192483269715611,5.223267078399658
AugMix->Rand,10,52.77,0.7047858796542203,5.489814043045044
AugMix->Rand,11,56.06,0.6221115879620178,5.495126008987427
AugMix->Rand,12,54.81,0.5356316189222698,5.691610813140869
AugMix->Rand,13,56.2,0.4724410825137851,5.45176887512207
AugMix->Rand,14,56.33,0.4009749100932592,5.934772968292236
AugMix->Rand,15,55.56,0.355899761560597,5.5762481689453125
AugMix->Rand,16,56.42,0.3198917668454255,5.419037818908691
AugMix->Rand,17,56.72,0.2792447178235537,5.366358041763306
AugMix->Rand,18,56.38,0.2689762533276896,5.359897136688232
AugMix->Rand,19,55.35,0.2226247056564198,5.207000017166138
AugMix->Rand,20,55.9,0.2089888597779636,5.6143622398376465
AugMix->Rand,21,56.01,0.17697923371120344,5.715230226516724
AugMix->Rand,22,54.21,0.17404599912181684,5.463351726531982
AugMix->Rand,23,56.1,0.14738644725536998,5.35308575630188
AugMix->Rand,24,56.65,0.16607249188649503,5.328412771224976
AugMix->Rand,25,55.7,0.16547437719529187,5.369369029998779
Albument->Trivial,1,36.86,1.9615962052647071,2.4863429069519043
Albument->Trivial,2,46.45,1.660634332065341,2.546675205230713
Albument->Trivial,3,49.17,1.5030962892725497,2.5019772052764893
Albument->Trivial,4,50.7,1.4101145765449428,2.5077779293060303
Albument->Trivial,5,53.22,1.3295984026751941,2.4942848682403564
Albument->Trivial,6,54.86,1.2644766720035407,2.6357498168945312
Albument->Trivial,7,56.74,1.2056308471703832,2.553964853286743
Albument->Trivial,8,57.49,1.1272092604938941,2.5490541458129883
Albument->Trivial,9,57.27,1.088131828398644,2.449442148208618
Albument->Trivial,10,60.12,1.02345145427728,2.532778024673462
Albument->Trivial,11,60.88,0.951405072514015,2.4557480812072754
Albument->Trivial,12,61.26,0.9157817009129102,2.534106969833374
Albument->Trivial,13,61.27,0.8580294915392429,2.5021169185638428
Albument->Trivial,14,62.24,0.8355211532568629,2.481412887573242
Albument->Trivial,15,61.54,0.789573065087765,2.44881010055542
Albument->Trivial,16,60.76,0.7616490631163875,2.5338759422302246
Albument->Trivial,17,61.98,0.7461713824091079,2.446714162826538
Albument->Trivial,18,62.62,0.6994448526750637,2.5617589950561523
Albument->Trivial,19,62.37,0.6645852500879312,2.45542573928833
Albument->Trivial,20,62.59,0.6219803838035728,2.5242066383361816
Albument->Trivial,21,61.0,0.616313818134839,2.490433931350708
Albument->Trivial,22,62.61,0.5769216561619239,2.4484622478485107
Albument->Trivial,23,62.21,0.5457639980919754,2.535766124725342
Albument->Trivial,24,62.71,0.5373791312869591,2.4771971702575684
Albument->Trivial,25,63.06,0.49195692659933354,2.435245990753174
AugMix->Trivial,1,39.34,1.8953741653056084,5.377887010574341
AugMix->Trivial,2,46.69,1.5592335221133655,6.0034401416778564
AugMix->Trivial,3,46.75,1.3927269095106969,5.60250997543335
AugMix->Trivial,4,51.88,1.2831758170188228,5.73286509513855
AugMix->Trivial,5,54.09,1.151019093356555,5.498260021209717
AugMix->Trivial,6,54.91,1.0483482140529006,5.541801929473877
AugMix->Trivial,7,56.03,0.988575833507731,5.860050201416016
AugMix->Trivial,8,55.09,0.8771767186213143,7.465303659439087
AugMix->Trivial,9,54.51,0.7770560561101648,6.093280076980591
AugMix->Trivial,10,56.88,0.6938938581490819,6.577733039855957
AugMix->Trivial,11,56.57,0.6251175139523759,5.7471230030059814
AugMix->Trivial,12,57.02,0.5106845532037034,5.5339531898498535
AugMix->Trivial,13,56.25,0.46508242435093167,5.496915102005005
AugMix->Trivial,14,57.4,0.3961945019568069,5.591116905212402
AugMix->Trivial,15,56.18,0.37286655095559135,5.996845006942749
AugMix->Trivial,16,54.78,0.3156617983609815,5.530270338058472
AugMix->Trivial,17,56.55,0.31023801108704335,5.464066743850708
AugMix->Trivial,18,56.93,0.23732760708920564,5.631253957748413
AugMix->Trivial,19,56.52,0.21413373994299129,6.061795949935913
